epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
1,0.7478874921798706,0.8981841802597046,0.39185860753059387,0.2508496642112732,0.765749990940094,0.8358376622200012,0.8574000000953674,0.31366780400276184,0.5534259676933289,0.38848167657852173,0.7419999837875366,0.9040591716766357
2,0.8080250024795532,0.6960601806640625,0.5621602535247803,0.3233627676963806,0.8418750166893005,0.9049028754234314,0.8912000060081482,0.24236391484737396,0.622913658618927,0.47183099389076233,0.7369999885559082,0.9283187389373779
3,0.8223124742507935,0.6366311311721802,0.6068900227546692,0.3449274003505707,0.8640000224113464,0.9204546213150024,0.8913999795913696,0.2347477823495865,0.6489989161491394,0.47332507371902466,0.7630000114440918,0.9357237219810486
4,0.8244125247001648,0.6140165328979492,0.6248592138290405,0.3487417995929718,0.8713750243186951,0.9257338047027588,0.8809999823570251,0.24911582469940186,0.6603294610977173,0.44686800241470337,0.7990000247955322,0.9377857446670532
5,0.8292250037193298,0.5975295305252075,0.6360945105552673,0.3566582202911377,0.8805000185966492,0.9296313524246216,0.8748000264167786,0.2574481964111328,0.6681905388832092,0.4340314269065857,0.8289999961853027,0.9391521215438843
6,0.8301125168800354,0.5915899276733398,0.6424993276596069,0.3583768308162689,0.8842499852180481,0.9312006831169128,0.8737000226974487,0.26313316822052,0.6676286458969116,0.432321161031723,0.8399999737739563,0.9399199485778809
